ticker,price_date,open,high,low,close,volume
AAPL,2026-01-01,223.64,225.96,221.44,224.08,32662385
AAPL,2026-01-02,220.4,220.45,219.25,220.22,34081746
AAPL,2026-01-05,225.92,227.51,224.03,225.02,39945303
AAPL,2026-01-06,222.95,224.57,222.95,223.74,59119756
AAPL,2026-01-07,222.07,223.81,221.74,222.35,43441584
AAPL,2026-01-08,217.83,218.59,217.53,217.66,43449910
AAPL,2026-01-09,216.86,218.44,215.79,215.95,17459307
AAPL,2026-01-12,220.27,220.66,218.93,220.02,23876499
AAPL,2026-01-13,221.08,222.21,219.75,222.01,36013516
AAPL,2026-01-14,221.41,222.47,220.56,222.06,35727784
AAPL,2026-01-15,227.47,228.95,225.4,225.98,14136107
AAPL,2026-01-16,227.65,228.51,226.7,228.02,25880787
AAPL,2026-01-19,229.39,231.46,228.76,230.5,19114177
AAPL,2026-01-20,228.98,230.09,227.14,228.76,17926547
AAPL,2026-01-21,226.07,226.51,225.41,225.97,43636145
AAPL,2026-01-22,225.44,227.61,224.47,226.03,22752157
AAPL,2026-01-23,230.94,231.2,229.48,230.06,36551160
AAPL,2026-01-26,234.6,234.73,232.81,233.72,32668531
AAPL,2026-01-27,233.7,235.53,231.47,232.4,15852483
AAPL,2026-01-28,239.49,240.42,238.39,239.8,28873499
AAPL,2026-01-29,237.69,240.51,235.78,239.79,46900273
AAPL,2026-01-30,238.85,240.83,236.98,239.32,27822349
AAPL,2026-02-02,234.91,236.59,233.67,236.4,44667447
AAPL,2026-02-03,241.29,241.8,241.27,241.68,54937270
AAPL,2026-02-04,242.46,242.96,241.14,242.03,37157572
AAPL,2026-02-05,238.55,240.27,238.2,240.13,12414737
AAPL,2026-02-06,239.94,242.99,238.39,239.37,20573135
AAPL,2026-02-09,233.65,235.79,233.13,234.47,20592987
AAPL,2026-02-10,236.18,237.65,234.76,235.64,59051420
AAPL,2026-02-11,240.82,241.81,239.03,240.32,42573655
AAPL,2026-02-12,240.19,241.16,239.1,240.2,11972993
AAPL,2026-02-13,241.35,242.31,238.18,240.36,41533714
AAPL,2026-02-16,234.02,234.78,233.82,233.98,59708568
AAPL,2026-02-17,232.13,233.05,229.7,233.03,26075559
AAPL,2026-02-18,234.14,234.36,231.89,233.23,48462792
AAPL,2026-02-19,231.03,233.02,229.47,231.87,35763858
AAPL,2026-02-20,233.82,234.32,233.55,234.32,9403006
AAPL,2026-02-23,229.39,231.14,228.4,228.47,42115878
AAPL,2026-02-24,231.8,232.73,230.62,232.73,39357719
AAPL,2026-02-25,234.42,235.4,233.4,233.83,21921855
AAPL,2026-02-26,239.1,239.51,236.47,237.78,32802268
AAPL,2026-02-27,238.31,240.24,237.0,239.87,55636365
AAPL,2026-03-02,243.02,244.07,242.15,243.4,48241125
AAPL,2026-03-03,241.64,244.0,240.4,242.56,55355594
AAPL,2026-03-04,241.14,242.49,240.6,242.3,54917629
AAPL,2026-03-05,237.95,239.36,235.49,238.64,56842693
AAPL,2026-03-06,236.13,236.15,234.09,235.76,7574258
AAPL,2026-03-09,241.03,241.69,238.74,240.57,48361317
AAPL,2026-03-10,244.26,245.47,242.3,242.73,47120441
AAPL,2026-03-11,241.26,245.55,241.2,243.25,46346278
AAPL,2026-03-12,242.38,243.43,240.44,241.82,47208687
AAPL,2026-03-13,240.93,242.14,240.33,241.28,36020469
AAPL,2026-03-16,244.98,246.29,242.98,244.4,47196660
AAPL,2026-03-17,246.6,247.33,246.06,246.24,18393587
AAPL,2026-03-18,242.81,243.62,240.19,243.02,5150755
AAPL,2026-03-19,250.31,250.87,248.36,248.42,59111855
AAPL,2026-03-20,245.36,249.63,245.24,249.17,17511685
AAPL,2026-03-23,246.83,247.72,244.99,247.66,11537673
AAPL,2026-03-24,249.11,249.25,248.86,249.0,18664301
AAPL,2026-03-25,245.97,246.99,243.59,245.99,45974330
AAPL,2026-03-26,248.08,248.58,246.49,248.23,15282099
AAPL,2026-03-27,250.39,251.17,249.81,251.13,7888877
AAPL,2026-03-30,251.52,251.65,249.06,251.21,36619309
AAPL,2026-03-31,248.96,249.53,248.71,248.87,25850335
AAPL,2026-04-01,247.76,247.97,245.83,245.94,38310389
AAPL,2026-04-02,244.03,245.87,240.91,243.47,7503446
AAPL,2026-04-03,243.01,244.16,242.51,243.67,28139069
AAPL,2026-04-06,247.35,250.52,246.52,248.44,56735862
AAPL,2026-04-07,251.19,253.24,250.68,251.76,39862374
AAPL,2026-04-08,252.31,252.67,250.13,250.57,15837427
AAPL,2026-04-09,249.65,250.76,248.52,249.96,23092224
AAPL,2026-04-10,251.24,252.93,250.21,252.9,23829432
AAPL,2026-04-13,259.25,259.94,259.02,259.17,39792847
AAPL,2026-04-14,253.89,257.54,253.53,254.59,48598325
AAPL,2026-04-15,253.9,255.08,252.11,253.03,10768357
AAPL,2026-04-16,254.02,255.88,251.65,254.16,34542194
AAPL,2026-04-17,260.83,261.83,259.66,261.11,28717267
AAPL,2026-04-20,262.46,264.06,260.82,261.31,6945990
AAPL,2026-04-21,260.99,261.88,257.77,260.74,50197662
AAPL,2026-04-22,254.01,255.08,253.4,254.75,15090966
AAPL,2026-04-23,254.14,256.59,253.22,254.75,30661803
AAPL,2026-04-24,251.44,252.76,250.27,251.76,25873240
AAPL,2026-04-27,252.56,253.31,251.64,251.83,50479662
AAPL,2026-04-28,251.81,253.23,251.68,251.75,27297506
AAPL,2026-04-29,246.85,247.99,245.29,247.63,32628116
AAPL,2026-04-30,245.75,246.99,245.49,246.34,42770168
AAPL,2026-05-01,243.08,243.45,242.27,243.04,13404073
AAPL,2026-05-04,237.05,238.86,235.11,235.57,8789816
AAPL,2026-05-05,231.22,232.16,230.04,230.45,47831240
AAPL,2026-05-06,232.34,232.9,229.83,230.67,49700360
AAPL,2026-05-07,231.01,231.19,228.62,230.42,37060068
AAPL,2026-05-08,231.47,231.55,230.71,230.74,18826071
AAPL,2026-05-11,225.64,226.89,223.59,226.51,59426245
AAPL,2026-05-12,225.12,226.43,223.98,225.48,22038446
AAPL,2026-05-13,229.32,230.33,227.28,228.63,24480581
AAPL,2026-05-14,229.8,232.18,229.01,230.38,54707745
AAPL,2026-05-15,232.34,232.36,229.13,231.16,46814764
AAPL,2026-05-18,233.1,233.17,232.58,232.59,33762798
AAPL,2026-05-19,228.23,228.32,227.83,228.09,27749783
AAPL,2026-05-20,234.26,234.61,232.31,233.57,27933165
AAPL,2026-05-21,234.31,234.45,233.53,233.85,36949130
AAPL,2026-05-22,230.7,234.68,229.73,232.24,37508205
AAPL,2026-05-25,231.91,232.69,231.54,231.89,14978513
