trade_id,instrument_id,ticker,sector,trade_date,price,volume,venue_code,side
1001,1,AAPL,Technology,2026-01-15,,2500.0,XNAS,SELL
1002,1,AAPL,Technology,2026-01-08,,1000.0,XNAS,BUY
1003,1,AAPL,Technology,2026-02-09,219.86,7500.0,XNAS,BUY
1004,1,AAPL,Technology,2026-02-16,215.86,2000.0,XNAS,SELL
1005,1,AAPL,Technology,2026-03-13,209.18,1500.0,XNAS,SELL
1006,1,AAPL,Technology,2026-03-26,215.45,2500.0,XNAS,SELL
1007,1,AAPL,Technology,2026-04-18,215.45,7500.0,XNAS,SELL
1008,1,AAPL,Technology,2026-05-13,214.26,1000.0,XNAS,BUY
1009,1,AAPL,Technology,2026-05-20,226.7,,XNAS,SELL
1010,1,AAPL,Technology,2026-06-18,236.69,500.0,XNAS,SELL
1011,1,AAPL,Technology,2026-06-03,224.65,250.0,XNAS,SELL
1012,2,MSFT,Technology,2026-01-07,438.92,1500.0,XNAS,SELL
1013,2,MSFT,Technology,2026-01-11,447.6,7500.0,XNAS,BUY
1014,2,MSFT,Technology,2026-02-02,464.03,2500.0,XNAS,BUY
1015,2,MSFT,Technology,2026-02-14,488.11,1500.0,XNAS,SELL
1016,2,MSFT,Technology,2026-03-18,462.27,2000.0,XNAS,SELL
1017,2,MSFT,Technology,2026-04-26,481.84,1500.0,XNAS,BUY
1018,2,MSFT,Technology,2026-04-22,496.55,7500.0,XNAS,SELL
1019,2,MSFT,Technology,2026-05-02,478.91,12000.0,XNAS,BUY
1020,2,MSFT,Technology,2026-05-18,477.5,7500.0,XNAS,SELL
1021,2,MSFT,Technology,2026-06-20,483.72,12000.0,XNAS,SELL
1022,2,MSFT,Technology,2026-06-10,484.12,,XNAS,BUY
1023,3,JPM,Financials,2026-01-13,201.75,750.0,XNYS,BUY
1024,3,JPM,Financials,2026-01-17,206.01,750.0,XNYS,SELL
1025,3,JPM,Financials,2026-02-13,211.07,,XNYS,BUY
1026,3,JPM,Financials,2026-03-03,207.51,5000.0,XNYS,BUY
1027,3,JPM,Financials,2026-03-15,208.91,1000.0,XNYS,BUY
1028,3,JPM,Financials,2026-04-08,215.62,1500.0,XNYS,SELL
1029,3,JPM,Financials,2026-04-24,214.77,750.0,XNYS,SELL
1030,3,JPM,Financials,2026-05-26,219.23,1500.0,XNYS,BUY
1031,3,JPM,Financials,2026-05-05,223.38,1000.0,XNYS,BUY
1032,3,JPM,Financials,2026-06-22,223.88,1000.0,XNYS,SELL
1033,3,JPM,Financials,2026-06-09,,250.0,XNYS,SELL
1034,4,XOM,Energy,2026-01-27,124.22,1000.0,XNYS,BUY
1035,4,XOM,Energy,2026-02-06,121.68,2500.0,XNYS,BUY
1036,4,XOM,Energy,2026-02-12,121.6,5000.0,XNYS,BUY
1037,4,XOM,Energy,2026-03-06,,2000.0,XNYS,BUY
1038,4,XOM,Energy,2026-03-18,115.35,2000.0,XNYS,BUY
1039,4,XOM,Energy,2026-04-04,,250.0,XNYS,SELL
1040,4,XOM,Energy,2026-04-21,119.27,1000.0,XNYS,BUY
1041,4,XOM,Energy,2026-05-22,116.05,1500.0,XNYS,BUY
1042,4,XOM,Energy,2026-05-19,111.73,1000.0,XNYS,SELL
1043,4,XOM,Energy,2026-06-22,112.34,1500.0,XNYS,BUY
1044,5,JNJ,Healthcare,2026-01-03,160.04,1000.0,XNYS,SELL
1045,5,JNJ,Healthcare,2026-01-03,152.56,7500.0,XNYS,SELL
1046,5,JNJ,Healthcare,2026-02-09,159.38,2000.0,XNYS,BUY
1047,5,JNJ,Healthcare,2026-02-06,157.04,12000.0,XNYS,SELL
1048,5,JNJ,Healthcare,2026-03-03,,250.0,XNYS,BUY
1049,5,JNJ,Healthcare,2026-03-19,142.91,1500.0,XNYS,SELL
1050,5,JNJ,Healthcare,2026-04-23,145.38,12000.0,XNYS,BUY
1051,5,JNJ,Healthcare,2026-04-11,153.96,500.0,XNYS,BUY
1052,5,JNJ,Healthcare,2026-05-22,158.46,7500.0,XNYS,BUY
1053,5,JNJ,Healthcare,2026-06-25,155.12,5000.0,XNYS,BUY
1054,5,JNJ,Healthcare,2026-06-24,149.53,5000.0,XNYS,SELL
1023,3,JPM,Financials,2026-01-13,201.75,750.0,XNYS,BUY
1028,3,JPM,Financials,2026-04-08,215.62,1500.0,XNYS,SELL
